T_MFO,B_MFO,G_MFO,C_MFO,O_MFO,T_SCR,B_SCR,G_SCR,C_SCR,O_SCR,T_LNG,B_LNG,G_LNG,C_LNG,O_LNG,T_ELC,B_ELC,G_ELC,C_ELC,O_ELC,T_MET,B_MET,G_MET,C_MET,O_MET,T_LPG,B_LPG,G_LPG,C_LPG,O_LPG,T_HYD,B_HYD,G_HYD,C_HYD,O_HYD
10604.0,8222.0,21085.0,4960.0,38358.0,2.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,10.0,-0.0,-0.0,1.0,-0.0,20.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
8831.0,8990.0,20300.0,5087.0,41418.0,3.0,7.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,14.0,-0.0,-0.0,2.0,-0.0,29.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9021.0,9548.0,20269.0,5092.0,42417.0,6.0,14.0,4.0,8.0,7.0,5.0,5.0,6.0,7.0,19.0,1.0,1.0,3.0,-0.0,51.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9216.0,10118.0,19642.0,5070.0,43679.0,17.0,37.0,11.0,22.0,19.0,7.0,6.0,8.0,9.0,24.0,1.0,1.0,3.0,-0.0,64.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9643.0,10414.0,19526.0,5046.0,45434.0,40.0,85.0,24.0,51.0,44.0,11.0,9.0,12.0,14.0,37.0,1.0,1.0,4.0,-0.0,74.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
9867.0,10623.0,19644.0,5142.0,46260.0,51.0,109.0,31.0,65.0,56.0,16.0,14.0,18.0,20.0,55.0,1.0,1.0,5.0,-0.0,96.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10131.0,10737.0,19648.0,5050.0,47018.0,63.0,135.0,39.0,81.0,70.0,20.0,18.0,23.0,26.0,71.0,2.0,2.0,6.0,1.0,121.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
10271.0,10845.0,19501.0,4976.0,47465.0,120.0,255.0,73.0,152.0,132.0,27.0,23.0,31.0,35.0,94.0,2.0,2.0,8.0,1.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10211.0,10239.0,18622.0,4565.0,48919.0,516.0,1099.0,316.0,657.0,568.0,35.0,31.0,40.0,46.0,124.0,4.0,4.0,15.0,1.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,709.0,3055.0,2928.0,1862.0,782.0,45.0,40.0,52.0,60.0,160.0,5.0,5.0,20.0,2.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,734.0,3107.0,3041.0,1916.0,808.0,57.0,49.0,65.0,75.0,199.0,6.0,6.0,22.0,2.0,406.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,736.0,3144.0,3166.0,1977.0,811.0,65.0,57.0,75.0,86.0,229.0,6.0,6.0,22.0,2.0,407.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
0.0,0.0,0.0,0.0,0.0,736.0,3196.0,3303.0,2047.0,811.0,68.0,59.0,78.0,90.0,240.0,6.0,6.0,22.0,2.0,411.0,2.0,0.0,1.0,0.0,21.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
